Entity,Code,Year,Share of global plastics emitted to ocean
Agno (Philippines),,2019,0.469647499
Agusan (Philippines),,2019,0.469647499
Bharathappuzha (India),,2019,0.357340488
Cagayan River (Philippines),,2019,0.234823749
Cagayan de Oro (Philippines),,2019,0.265452934
Chao Phraya (Thailand),,2019,0.408389129
Chenzhen River (China),,2019,0.296082119
Chilyar River (India),,2019,0.234823749
Cilliwung,,2019,0.285872391
Davao River (Philippines),,2019,0.265452934
Douala Estuary,,2019,0.234823749
Ebrie Lagoon / Komoe (Cote d'Ivoire),,2019,0.336921032
Ganges (India),,2019,0.633003151
Hamulauon (Philippines),,2019,0.224614021
Huangpu (China),,2019,0.367550217
Hugli (India),,2019,0.398179401
Iloilo (Philippines),,2019,0.428808586
Imus (Philippines),,2019,0.316501575
Jalaur River (Philippines),,2019,0.234823749
Karnaphuli (Bangladesh),,2019,0.265452934
Kelani (Sri Lanka),,2019,0.275662662
Kelantan River (Malaysia),,2019,0.255243206
Klang (Malaysia),,2019,1.327264671
Lagos Harbour (Nigeria),,2019,0.408389129
Langat (Malaysia),,2019,0.285872391
Libmanan (Philippines),,2019,0.724890705
Malad Creek (India),,2019,0.275662662
Malaking Tubig (Philippines),,2019,0.255243206
Meycauayan (Philippines),,2019,1.225167388
Mithi River (India),,2019,0.224614021
Msimbazi River (Tanzania),,2019,0.326711304
Pampanga (Philippines),,2019,0.949504726
Panvel Creek (India),,2019,0.255243206
Paranaque (Philippines),,2019,0.449228042
Pasig (Philippines),,2019,6.43212879
Pazundaung Creek (Myamnar),,2019,0.367550217
Periyar River (India),,2019,0.234823749
Rio Grande de Mindanao (Philippines),,2019,0.541115597
Rio Ozama (Dominican Republic),,2019,0.224614021
Rio Pavuna (Brazil),,2019,0.265452934
Sarawak (Malaysia),,2019,0.336921032
Soai Rap (Vietnam),,2019,0.418598858
Sungai Kuantan (Malaysia),,2019,0.224614021
"Tambo, Pasay (Philippines)",,2019,0.255243206
Tullahan (Philippines),,2019,1.327264671
Ulhas (India),,2019,1.327264671
Wouri River (Cameroon),,2019,0.285872391
Yangon River (Myamnar),,2019,0.255243206
Zapote (Philippines),,2019,0.275662662
Zhujiang/Canton (China),,2019,0.255243206
