Entity,Code,Year,Share of global mismanaged plastic waste
Africa,,2019,22.16170312
Albania,ALB,2019,0.113046491
Algeria,DZA,2019,1.237707957
Angola,AGO,2019,0.383571002
Antigua and Barbuda,ATG,2019,0.001014995
Argentina,ARG,2019,0.754055528
Asia,,2019,64.56010729
Australia,AUS,2019,0.008524663
Bahamas,BHS,2019,0.003580812
Bahrain,BHR,2019,0.001688421
Bangladesh,BGD,2019,1.654409563
Barbados,BRB,2019,0.001411604
Belgium,BEL,2019,0.003697366
Belize,BLZ,2019,0.009746866
Benin,BEN,2019,0.215844283
Bosnia and Herzegovina,BIH,2019,0.089926619
Brazil,BRA,2019,5.336737155
Brunei,BRN,2019,0.001120218
Bulgaria,BGR,2019,0.005045837
Burkina Faso,BFA,2019,0.513645775
Cambodia,KHM,2019,0.400647849
Cameroon,CMR,2019,0.936965084
Canada,CAN,2019,0.038182916
Cape Verde,CPV,2019,0.005775921
Chile,CHL,2019,0.049805985
China,CHN,2019,19.86638327
Colombia,COL,2019,0.138333951
Comoros,COM,2019,0.095765674
Congo,COG,2019,0.105693847
Costa Rica,CRI,2019,0.009309787
Cote d'Ivoire,CIV,2019,0.47206821
Croatia,HRV,2019,0.028400436
Cyprus,CYP,2019,0.001354946
Democratic Republic of Congo,COD,2019,2.217335209
Denmark,DNK,2019,0.000631337
Djibouti,DJI,2019,0.016655956
Dominica,DMA,2019,0.001751554
Dominican Republic,DOM,2019,0.314078645
EU-27,,2019,0.431555824
Ecuador,ECU,2019,0.176121877
Egypt,EGY,2019,2.323820655
El Salvador,SLV,2019,0.035116886
Equatorial Guinea,GNQ,2019,0.015221688
Eritrea,ERI,2019,0.136122654
Estonia,EST,2019,0.000971287
Europe,,2019,1.911360336
Fiji,FJI,2019,0.006245376
Finland,FIN,2019,0.004242906
France,FRA,2019,0.044970594
French Guiana,GUF,2019,0.00020397
Gabon,GAB,2019,0.009698302
Gambia,GMB,2019,0.056812203
Georgia,GEO,2019,0.000496975
Germany,DEU,2019,0.082034911
Ghana,GHA,2019,0.84178542
Greece,GRC,2019,0.007294366
Grenada,GRD,2019,0.002196728
Guadeloupe,GLP,2019,0.000262248
Guatemala,GTM,2019,0.503455354
Guinea,GIN,2019,0.239579303
Guinea-Bissau,GNB,2019,0.033128985
Guyana,GUY,2019,0.04462255
Haiti,HTI,2019,0.385225428
Honduras,HND,2019,0.236338442
Hong Kong,HKG,2019,0.009358352
Iceland,ISL,2019,0.000244441
India,IND,2019,21.03500357
Indonesia,IDN,2019,1.334279799
Iran,IRN,2019,0.802874039
Iraq,IRQ,2019,0.796084742
Ireland,IRL,2019,0.004330322
Israel,ISR,2019,0.00981
Italy,ITA,2019,0.062814758
Jamaica,JAM,2019,0.080411243
Japan,JPN,2019,0.057765683
Jordan,JOR,2019,0.201420669
Kazakhstan,KAZ,2019,0.087807594
Kenya,KEN,2019,0.469321086
Kiribati,KIR,2019,0.000119792
Kuwait,KWT,2019,0.004273663
Latvia,LVA,2019,0.001545965
Lebanon,LBN,2019,0.075472248
Lesotho,LSO,2019,0.049197312
Liberia,LBR,2019,0.064639159
Libya,LBY,2019,0.3052027
Lithuania,LTU,2019,0.001678708
Macau,,2019,0.023875857
Madagascar,MDG,2019,0.040875
Malaysia,MYS,2019,1.318447818
Maldives,MDV,2019,0.0000971
Malta,MLT,2019,0.000419272
Marshall Islands,MHL,2019,0.0000259
Martinique,MTQ,2019,0.000225015
Mauritania,MRT,2019,0.033664812
Mauritius,MUS,2019,0.000484025
Mexico,MEX,2019,0.697083063
Micronesia,,2019,0.000723609
Monaco,MCO,2019,0.00000809
Montenegro,MNE,2019,0.0000259
Morocco,MAR,2019,0.478339488
Mozambique,MOZ,2019,0.703263687
Myanmar,MMR,2019,0.703263687
Namibia,NAM,2019,0.033820218
Netherlands,NLD,2019,0.024659362
New Zealand,NZL,2019,0.002774644
Nicaragua,NIC,2019,0.179464724
Nigeria,NGA,2019,3.154983431
North America,,2019,3.120234015
North Korea,PRK,2019,0.000521257
Norway,NOR,2019,0.002418505
Oceania,,2019,0.220977536
Oman,OMN,2019,0.002025134
Pakistan,PAK,2019,2.179665456
Palau,PLW,2019,0.000187782
Palestine,PSE,2019,0.003446451
Panama,PAN,2019,0.058826005
Papua New Guinea,PNG,2019,0.193509536
Peru,PER,2019,0.227140353
Philippines,PHL,2019,6.516203498
Poland,POL,2019,0.022864099
Portugal,PRT,2019,0.006180624
Puerto Rico,PRI,2019,0.002093124
Qatar,QAT,2019,0.00248002
Reunion,REU,2019,0.000377183
Romania,ROU,2019,0.084438847
Russia,RUS,2019,0.588258434
Saint Kitts and Nevis,KNA,2019,0.000157025
Saint Lucia,LCA,2019,0.00692204
Saint Martin,,2019,0.000013
Saint Vincent and the Grenadines,VCT,2019,0.001999233
Samoa,WSM,2019,0.002813495
Sao Tome and Principe,STP,2019,0.003349322
Saudi Arabia,SAU,2019,0.011616594
Senegal,SEN,2019,0.106291189
Seychelles,SYC,2019,0.0000534
Sierra Leone,SLE,2019,0.147698778
Singapore,SGP,2019,0.003995228
Sint Maarten,,2019,0.00000486
Slovakia,SVK,2019,0.002782738
Slovenia,SVN,2019,0.001366277
Solomon Islands,SLB,2019,0.005698218
Somalia,SOM,2019,0.000068
South Africa,ZAF,2019,1.146874803
South America,,2019,8.001000426
South Korea,KOR,2019,0.019678277
Spain,ESP,2019,0.032942822
Sri Lanka,LKA,2019,0.251670209
Sudan,SDN,2019,1.265303843
Suriname,SUR,2019,0.037124213
Sweden,SWE,2019,0.006888045
Syria,SYR,2019,0.000812644
Taiwan,TWN,2019,0.012144327
Tanzania,TZA,2019,2.778528727
Thailand,THA,2019,2.204319961
